dataset,true_label,p_phish,p_legit,tokens,snippet
Internal,0,8.559161265930247e-29,1.0,"your, details, services, will, its, staff, required, inc, online, new","SEC Exposes Big Blue's Pink Slips This is a multi-part message in MIME format... ------------=_1029331990-31627-4 Content-Type: text/plain; charset=""iso-8859-1"" Content-Disposition: inline Content-Transfer-Encoding: 7bit To view this newsle"
Internal,0,1.1307676817278448e-24,1.0,"gif, your, soon, updated, sign, services, reserved, rights reserved, help, all rights",Cell phones coming soon ![CNET Wireless Dispatch](http://a.r.tv.com/cnet.1d/i/nl/wr/442_cellphone_nwsltr.gif)   | ![](http://home.cnet.com/b.gif)      ---   ![](http://home.cnet.com/b.gif)   | ![](http://home.cnet.com/b.gif)   | ![](http://
External,1,0.9994181250574341,0.0005818749425658964,"account, update, update your, service, your, email account, your email, important, to avoid, email",Important: Update your email account settings to avoid service interruption.
External,1,0.9994181250574341,0.0005818749425658964,"account, update, update your, service, your, email account, your email, important, to avoid, email",Important: Update your email account settings to avoid service interruption.
External,1,0.9994181250574341,0.0005818749425658964,"account, update, update your, service, your, email account, your email, important, to avoid, email",Important: Update your email account settings to avoid service interruption.
External,1,0.9994181250574341,0.0005818749425658964,"account, update, update your, service, your, email account, your email, important, to avoid, email",Important: Update your email account settings to avoid service interruption.
External,1,0.9994181250574341,0.0005818749425658964,"account, update, update your, service, your, email account, your email, important, to avoid, email",Important: Update your email account settings to avoid service interruption.
External,1,0.9994181250574341,0.0005818749425658964,"account, update, update your, service, your, email account, your email, important, to avoid, email",Important: Update your email account settings to avoid service interruption.
External,1,0.9994181250574341,0.0005818749425658964,"account, update, update your, service, your, email account, your email, important, to avoid, email",Important: Update your email account settings to avoid service interruption.
External,1,0.9994181250574341,0.0005818749425658964,"account, update, update your, service, your, email account, your email, important, to avoid, email",Important: Update your email account settings to avoid service interruption.
External,1,0.9994181250574341,0.0005818749425658964,"account, update, update your, service, your, email account, your email, important, to avoid, email",Important: Update your email account settings to avoid service interruption.
External,1,0.9994181250574341,0.0005818749425658964,"account, update, update your, service, your, email account, your email, important, to avoid, email",Important: Update your email account settings to avoid service interruption.
External,0,0.031181020242015575,0.9688189797579845,,Welcome to our newsletter! Stay tuned for the latest updates and offers.
External,0,0.031181020242015575,0.9688189797579845,,Welcome to our newsletter! Stay tuned for the latest updates and offers.
External,0,0.031181020242015575,0.9688189797579845,,Welcome to our newsletter! Stay tuned for the latest updates and offers.
External,0,0.031181020242015575,0.9688189797579845,,Welcome to our newsletter! Stay tuned for the latest updates and offers.
External,0,0.031181020242015575,0.9688189797579845,,Welcome to our newsletter! Stay tuned for the latest updates and offers.
External,0,0.031181020242015575,0.9688189797579845,,Welcome to our newsletter! Stay tuned for the latest updates and offers.
External,0,0.031181020242015575,0.9688189797579845,,Welcome to our newsletter! Stay tuned for the latest updates and offers.
External,0,0.031181020242015575,0.9688189797579845,,Welcome to our newsletter! Stay tuned for the latest updates and offers.
External,0,0.031181020242015575,0.9688189797579845,,Welcome to our newsletter! Stay tuned for the latest updates and offers.
External,0,0.031181020242015575,0.9688189797579845,,Welcome to our newsletter! Stay tuned for the latest updates and offers.
